,博士,碩士,大學,專科,高中高職,其他
106年01月,39553628,543482201,2391817065,1076387548,1468078707,1408140279
106年02月,28040596,406151144,1697531559,691889536,931501807,982250530
106年03月,28049499,397311841,1738603923,711276191,956511444,988528083
106年04月,30379089,447661540,1884621610,765540501,1029356452,1054872801
106年05月,32655350,468750824,2017148334,809956093,1098376816,1112575415
106年06月,28320770,416318929,1789996675,704955058,934323118,957687806
106年07月,33965446,449339303,1878336091,751319850,988468921,992884727
106年08月,28647092,405019962,1716635154,697970280,948413961,931052156
106年09月,27490211,398956770,1700000249,657719999,892311581,914857255
106年10月,32824450,472584318,2006598249,779211246,1057635401,1063884532
106年11月,30484453,482388165,2092497078,812165179,1112457168,1127491519
106年12月,40308473,612427318,2612466721,1028952198,1375329526,1408595161
