"年月	地區	類別	男性[筆數]	男性[金額，新台幣]	女性[筆數]	女性[金額，新台幣]"
"103年01月	新北市	住	98519	524997865	83025	489717108"
"103年02月	新北市	住	77660	327406554	66661	313827410"
"103年03月	新北市	住	77882	362437756	65849	336948789"
"103年04月	新北市	住	83589	445764309	71434	421824263"
"103年05月	新北市	住	82491	401943328	72996	399601157"
"103年06月	新北市	住	88593	440100037	78397	433512452"
"103年07月	新北市	住	98815	515327256	93158	526654905"
"103年08月	新北市	住	92656	442490580	85422	437977093"
"103年09月	新北市	住	81635	388242639	72809	375915412"
"103年10月	新北市	住	80585	374415996	74957	374104677"
"103年11月	新北市	住	87501	442320055	78868	441726008"
"103年12月	新北市	住	92851	455174626	80797	420850367"
"104年01月	新北市	住	97941	494156085	85353	459221040"
"104年02月	新北市	住	92613	446825535	82509	419655713"
"104年03月	新北市	住	84041	390814345	73708	357563893"
"104年04月	新北市	住	90268	479340203	80261	468468987"
"104年05月	新北市	住	87978	429152051	79583	419383067"
"104年06月	新北市	住	88236	454886019	80239	457486542"
"104年07月	新北市	住	94331	481295613	89583	485884329"
"104年08月	新北市	住	94843	440906150	89006	422267886"
"104年09月	新北市	住	86476	400270073	76756	380283268"
"104年10月	新北市	住	86733	414012235	77765	395914269"
"104年11月	新北市	住	91607	489331534	82301	482405653"
"104年12月	新北市	住	98623	512128003	85055	470642027"
"105年01月	新北市	住	189493	852774941	179646	839661428"
"105年02月	新北市	住	170716	689494921	156659	660826757"
"105年03月	新北市	住	143322	550397246	130029	529519037"
"105年04月	新北市	住	134026	614070729	117461	581384644"
"105年05月	新北市	住	129793	580126119	115237	570942862"
"105年06月	新北市	住	137167	639860114	124055	627256021"
"105年07月	新北市	住	144850	666583276	131591	660510189"
"105年08月	新北市	住	131919	570061111	121681	570951497"
"105年09月	新北市	住	122116	526483972	107846	513528983"
"105年10月	新北市	住	135467	578886110	118599	560202545"
"105年11月	新北市	住	132751	617814815	117767	597449869"
"105年12月	新北市	住	142870	674326073	127341	631976992"
"106年01月	新北市	住	146247	699639876	132243	691247964"
"106年02月	新北市	住	127362	529401662	112002	491980691"
"106年03月	新北市	住	116430	507561833	102572	482711800"
"106年04月	新北市	住	127023	652619435	113605	638852550"
"106年05月	新北市	住	120662	555977944	107936	542929608"
"106年06月	新北市	住	111761	547724124	100717	544360784"
"106年07月	新北市	住	133513	663903146	123850	678279913"
"106年08月	新北市	住	129279	615839058	122457	628056059"
"106年09月	新北市	住	117869	558374056	105687	532716234"
"106年10月	新北市	住	129728	608367046	118046	618741769"
"106年11月	新北市	住	121988	609643992	106892	571194450"
"106年12月	新北市	住	136844	670250499	123202	614020070"
"107年01月	新北市	住	120187	601232256	109524	600418492"
"107年02月	新北市	住	131581	614817558	119709	593085688"
"107年03月	新北市	住	120626	537137984	108736	519522432"
"107年04月	新北市	住	124721	632898536	112617	632175034"
"107年05月	新北市	住	126804	622939833	118871	650739754"
